Pathological_type,Pancreatic,Pancreatic,Pancreatic,Pancreatic,Pancreatic,Pancreatic,Pancreatic,Pancreatic,Pancreatic,Pancreatic,Pancreatic,Pancreatic,Pancreatic,Pancreatic,Pancreatic,Pancreatic,Pancreatic,Pancreatic,Pancreatic,Rectal,Rectal,Rectal,Rectal,Rectal,Rectal
hsa-miR-487b(1),-10.83635882,-8.786433755,-9.591307858,-11.52855655,-12.82193638,-13.6704139,-16.44614174,-13.92034131,-10.51679244,-10.49077413,-13.16750644,-14.59171857,-11.16948889,-13.29349473,-11.60613718,-11.48288232,-9.699233991,-11.71807061,-15.00083123,-16.73150371,-17.39800522,-18.20038533,-18.93880014,-18.41051783,-29.89735285
hsa-miR-323b(1),-13.58107132,-11.84509261,-12.66309675,-16.63731543,-16.8373325,-16.22007366,-20.60964047,-11.45985272,-12.04880938,-11.02128862,-13.18629089,-14.17668107,-11.39188242,-15.99610882,-12.04103676,-13.42377393,-11.22847825,-14.96809445,-16.58107132,-29.89735285,-20.2038659,-20.01013224,-19.52014232,-19.99648605,-29.89735285
hsa-miR-485-5p(1),-10.79083847,-10.58465156,-9.92245798,-13.00773007,-14.22559067,-12.02106974,-18.60964047,-12.11193232,-11.40028069,-10.33876959,-14.75764164,-14.17668107,-14.27621674,-15.40800661,-15.03432814,-12.75797138,-11.50977302,-11.87853328,-15.77776323,-17.40800661,-17.5039624,-18.59243118,-29.89735285,-19.99648605,-18.46168259
hsa-miR-375(1),-1.330099016,-2.929416567,-2.97491972,-2.788447852,-3.561219913,-2.57428902,-2.269756721,-2.234973898,-3.850726606,-3.355688853,-3.016562682,-3.258097636,-1.610230996,-3.589035317,-3.345689471,-2.053545026,-2.337248748,-1.555016927,-2.832206344,-3.166679968,-0.833014014,-3.120523151,-0.688538273,-0.84214362,-1.082430186
hsa-miR-504(1),-18.99799593,-16.55305695,-19.28080401,-16.05382432,-19.33702002,-17.80724043,-17.78100889,-29.89735285,-14.67229608,-15.03917754,-16.56699614,-16.17668107,-13.97737226,-15.40800661,-13.11302474,-29.89735285,-16.65805268,-15.96809445,-13.97040831,-14.8483552,-12.75299334,-13.2000323,-11.46991314,-11.35296567,-12.05445011
hsa-miR-409-5p(1),-12.10887666,-10.72655246,-10.04658762,-13.59350077,-14.99610882,-14.60603824,-17.86461833,-12.91927926,-10.90070835,-10.61967043,-13.74967093,-14.36780029,-12.24892505,-13.29349473,-13.34810966,-12.42010053,-11.94390663,-11.32214232,-13.97040831,-17.27164401,-16.61977485,-20.01013224,-29.89735285,-29.89735285,-17.4590808
hsa-miR-323a(1),-12.85558677,-10.42356388,-10.04898971,-14.02227548,-15.34060733,-16.53925115,-20.12421365,-13.92034131,-10.71136439,-10.34991039,-13.53410784,-14.17668107,-12.09419924,-14.67229608,-12.14038614,-13.93382454,-10.00704849,-13.38159143,-15.58816075,-20.72993471,-18.20473735,-20.01013224,-19.52014232,-19.99648605,-17.87498504
hsa-miR-429(1),-10.21075487,-9.542329817,-9.325067118,-9.618882977,-9.516630752,-11.43610524,-8.411705808,-8.544244806,-7.981170145,-9.113210083,-8.491186264,-9.876541069,-9.360294692,-9.538716676,-9.331125969,-7.705553835,-7.080949808,-8.498392628,-8.872935491,-7.049409683,-7.555567209,-7.098572967,-7.989555942,-6.900105653,-6.55204196
hsa-miR-432(1),-9.726072196,-8.265284197,-7.410916007,-11.06722764,-13.4902843,-14.24787212,-17.47213695,-9.334321411,-9.4253701,-8.88135803,-13.95887592,-14.17668107,-11.71005878,-14.18740747,-11.93895873,-11.03763306,-9.088526118,-10.41140958,-14.8314319,-15.11394531,-17.8819378,-17.2025597,-18.93880014,-17.41303343,-15.06862132
hsa-miR-410(1),-13.28426845,-11.06996363,-10.67418308,-13.52898281,-15.14497221,-16.67003775,-19.54200176,-10.52696769,-10.11870779,-10.74642801,-13.08885367,-13.71627826,-11.43768511,-12.90658408,-11.22671735,-10.6494462,-9.629170686,-10.41140958,-16.58107132,-17.14497221,-17.74570202,-17.46428909,-20.52448779,-19.41555342,-29.89735285
hsa-miR-433(1),-11.65785688,-9.830571217,-7.926869157,-12.35167944,-14.56699614,-15.37697972,-18.8006377,-11.21884555,-11.8488713,-10.50315605,-15.81886844,-15.17668107,-13.51709473,-15.99610882,-13.57577702,-13.16633884,-11.96874195,-12.79607474,-14.94061371,-18.41051783,-18.39551567,-17.84071514,-18.93880014,-18.41051783,-18.13663291
hsa-miR-196b(1),-17.86461833,-17.51472883,-29.89735285,-18.63878682,-20.9258093,-15.48531234,-17.32512634,-29.89735285,-14.17134762,-29.89735285,-21.02698813,-29.89735285,-15.65358382,-29.89735285,-16.75205752,-18.60388121,-18.3806679,-14.96809445,-29.89735285,-10.93783761,-11.58123929,-12.33612458,-15.61687204,-13.68934717,-10.83357071
hsa-miR-329(2),-14.58107132,-13.03486078,-12.67789124,-15.4655941,-16.47213695,-17.32275933,-19.93156857,-12.59735787,-11.90070835,-12.11321008,-14.83564415,-14.95428865,-15.17134762,-13.67229608,-12.84129733,-15.68364106,-12.00513617,-14.38005255,-14.77776323,-18.72993471,-21.2038659,-20.01013224,-17.06564975,-17.67455795,-17.65358382
hsa-miR-1301(1),-10.91698731,-12.8834741,-9.360435982,-11.67708318,-15.34060733,-10.30622684,-12.36650458,-10.83182102,-11.57175753,-12.90170714,-11.52763624,-13.00583019,-10.22195569,-13.53410784,-11.22469617,-11.57034413,-14.75365078,-10.57368012,-11.72748167,-16.33463343,-16.74411752,-13.83564415,-16.27621674,-16.60964047,-15.87845723
hsa-miR-654(1),-14.78589111,-11.54474038,-13.02988105,-14.77776323,-13.4655941,-17.54475762,-18.76164357,-12.91927926,-10.80704915,-11.02128862,-13.30366995,-12.26885747,-10.87881035,-11.78459266,-11.6817298,-13.05753396,-9.516789271,-11.57368232,-13.0776727,-15.05873981,-16.34660607,-16.51202968,-17.52557621,-16.3586789,-17.4590808
hsa-miR-137(1),-14.5154044,-17.91364666,-12.47045752,-13.82933038,-14.5154044,-14.43012942,-7.847438182,-29.89735285,-8.719101367,-29.89735285,-18.21787275,-13.08828816,-29.89735285,-15.99610882,-14.29639462,-16.34660607,-8.625124035,-14.96809445,-17.58674007,-8.728792129,-8.997191396,-8.741960802,-9.04844954,-8.741792183,-8.673319963
hsa-miR-382-5p(1),-9.86478646,-9.413964133,-9.709852167,-11.97887391,-12.13081101,-12.40849282,-17.34660607,-10.67135704,-9.506715746,-9.806549085,-14.38313194,-12.42085978,-11.51741189,-12.82412131,-11.94892858,-10.14571727,-11.39593159,-9.68059634,-12.35664208,-16.08357166,-16.49860916,-16.19821423,-19.52014232,-16.24226941,-14.25068165
hsa-miR-377(1),-12.93517982,-10.87155362,-11.55670731,-13.09791944,-12.37448019,-16.13455559,-16.60964047,-10.74935798,-10.1238337,-10.08501414,-12.85556538,-13.26886459,-11.2086586,-13.08715781,-12.65836042,-9.807657989,-9.243331376,-11.71807061,-13.24561441,-13.42694818,-15.81055317,-15.89594466,-20.52448779,-17.2969753,-16.28771238
hsa-miR-1185-1-3p(1),-14.45259676,-13.01465011,-10.91148591,-15.24226941,-16.06367211,-16.67003775,-18.60964047,-15.92257979,-13.1085071,-14.19010158,-13.7221152,-17.17668107,-12.99956647,-14.67229608,-14.27621674,-13.02702426,-10.91048866,-15.38313194,-17.2625418,-17.92437307,-18.39551567,-19.13248126,-29.89735285,-29.89735285,-16.65209727
hsa-miR-128(2),-11.53856002,-11.30447613,-10.68909468,-9.852447839,-13.03648411,-10.7075283,-10.90975575,-12.59735787,-10.6000492,-11.90170714,-9.945338267,-11.74948712,-10.46904789,-12.08715153,-10.37849419,-10.35519571,-10.9252958,-11.96599782,-10.59110867,-9.457108189,-10.12405425,-11.10213757,-8.887212704,-8.234646237,-9.551197337
hsa-miR-192(1),-10.09527673,-10.54948498,-9.039403741,-10.25553923,-6.794414427,-11.04345854,-5.514084289,-7.080080494,-6.17977547,-8.525087703,-5.462292814,-7.373233004,-7.124314084,-6.909235437,-6.530716477,-7.33060012,-6.694756241,-6.849654284,-4.514712371,-4.707485211,-5.391852918,-6.089562832,-5.677795894,-5.50096581,-5.101367922
hsa-miR-539(1),-15.29930035,-13.26326503,-12.64845243,-16.05382432,-16.06367211,-17.54475762,-19.23557476,-13.92034131,-12.97285347,-12.71727859,-14.20637275,-29.89735285,-14.16868828,-16.99422418,-13.48696776,-14.07110231,-11.12948524,-15.96809445,-18.00177757,-20.72993471,-19.20038533,-20.01013224,-29.89735285,-20.99648605,-17.87498504
hsa-miR-127(1),-6.408901837,-5.944243617,-6.113844395,-7.969971647,-9.068411408,-11.27161191,-13.66853416,-7.191363861,-6.934642147,-5.679460293,-9.662997329,-9.985924291,-8.207005689,-9.307543548,-9.28736978,-7.032888966,-5.65745006,-7.161867069,-8.795928534,-11.06556936,-10.6098817,-12.97978264,-15.00083123,-13.04844878,-9.388127786
hsa-miR-494(1),-14.59528518,-11.79160289,-11.04898971,-15.31685873,-13.82723191,-16.53925115,-17.57542476,-13.33463343,-12.25825949,-12.19121437,-14.77776323,-17.17668107,-13.97737226,-14.40800661,-14.60603824,-13.22054179,-11.83434757,-14.96809445,-16.77776323,-16.64321001,-18.62122845,-18.50933557,-20.52448779,-19.41555342,-15.87845723
hsa-miR-134(1),-10.48005864,-10.0593154,-10.19034599,-11.67129822,-11.33838663,-11.720201,-16.63731543,-9.59735563,-9.564773185,-9.934873362,-13.48696776,-11.92782018,-10.46904789,-11.60172739,-11.22975271,-9.865175261,-9.599743572,-9.737179821,-13.37544575,-13.911422,-15.53239748,-15.38313194,-18.20473735,-15.67606784,-12.88973422
hsa-miR-411(1),-13.29494395,-10.07090057,-11.29481346,-13.75365078,-11.80369287,-16.53925115,-17.15125847,-11.91928484,-10.24145183,-8.88135803,-12.7447214,-11.65218549,-11.56745143,-11.53461279,-11.53430894,-11.49535258,-9.025384466,-11.38103724,-14.37697972,-14.07358757,-15.87845723,-16.24226941,-20.52448779,-16.82723191,-15.28771238
hsa-miR-136-5p(1),-11.68656738,-10.14665404,-11.73091513,-12.26204568,-11.66078269,-17.13040991,-15.89594466,-10.21884384,-8.690303968,-8.955996416,-12.93272996,-10.66795429,-11.43768511,-10.13606297,-11.77179308,-10.3984647,-8.886007514,-8.796073459,-12.08561442,-11.85132131,-14.90034984,-14.41114632,-18.93880014,-14.63878682,-14.05137284
hsa-miR-424(1),-13.40487372,-11.87038642,-14.81886844,-13.09791944,-12.38607119,-13.80848182,-13.33314381,-11.74935798,-10.82363229,-10.80655038,-12.00868094,-12.26885747,-11.11886178,-11.01676489,-10.25478989,-12.51004229,-13.82933038,-12.05910915,-11.41053747,-13.17632044,-14.33463343,-14.66853416,-15.87845723,-15.63878682,-15.87845723
hsa-miR-369(1),-13.82304411,-11.2360201,-12.3352968,-13.88280926,-14.26765473,-15.95887592,-19.76806984,-11.01239238,-10.81531559,-10.74642801,-13.06548897,-15.17668107,-11.55057944,-13.18669438,-11.96401951,-10.89103499,-8.779366133,-12.15864042,-15.26481198,-13.8126275,-17.2969753,-16.59528518,-20.52448779,-18.99799593,-15.99610882
hsa-miR-200b(1),-7.446549117,-6.99614142,-6.752329213,-6.374254099,-6.335224114,-8.110871431,-6.391612642,-6.7418646,-7.158037827,-7.351309295,-7.247001174,-7.685901486,-7.446115326,-7.351089515,-7.564177299,-6.879905713,-5.593289577,-6.831571889,-7.090024467,-5.03446606,-6.643802955,-6.348167367,-6.294800094,-5.777772177,-6.321678126
hsa-miR-23b(1),-7.923982349,-6.502605873,-7.758663575,-7.848160714,-7.451076731,-7.300267125,-8.017872059,-9.790001666,-8.556953427,-7.672887713,-8.520794476,-7.750533435,-7.82646149,-7.975843478,-7.206138614,-10.35630541,-9.249244591,-8.187921071,-7.362969222,-10.49548795,-10.72240523,-8.208998804,-9.757425599,-9.860470949,-10.59695337
hsa-miR-889(1),-14.8483552,-11.93754897,-12.57737209,-15.38931052,-16.47213695,-16.67003775,-20.23201694,-12.91927926,-12.12897466,-11.90170714,-14.39551567,-17.17668107,-13.22196086,-15.99610882,-13.1897915,-11.4664185,-10.59630328,-13.15864042,-17.2625418,-15.68364106,-17.39800522,-18.59243118,-19.52014232,-29.89735285,-29.89735285
hsa-miR-431-5p(1),-17.32275933,-14.71433785,-11.73864949,-16.63731543,-18.34180508,-18.54200176,-21.34660607,-12.59735787,-13.73386041,-17.36110564,-12.4824612,-17.17668107,-15.38931052,-29.89735285,-13.69507595,-16.12421365,-9.593782785,-13.64431793,-15.99610882,-19.14916,-20.2038659,-21.59357211,-29.89735285,-19.41555342,-29.89735285
hsa-miR-381(1),-12.84341637,-8.737679193,-11.59130897,-13.48696776,-10.22652202,-14.01987699,-16.39551567,-11.01239238,-7.509228592,-9.442274517,-12.24740907,-11.44782936,-9.822025177,-10.32161789,-10.40227663,-8.458763009,-8.756486271,-9.756544298,-12.97075571,-12.03741775,-15.84410573,-15.4655941,-18.93880014,-16.91008884,-14.11907034
hsa-miR-200a(1),-7.818374679,-7.163011417,-7.6058252,-7.082374219,-7.084399227,-8.793739759,-6.053052229,-6.070661236,-6.473351149,-6.716831,-7.009943309,-7.365981389,-6.798907068,-6.796827015,-6.992099728,-7.272812608,-5.311438514,-6.115030059,-6.006814788,-5.540262407,-6.098863155,-6.30119848,-5.216625703,-5.251702502,-6.131043241
hsa-miR-370(1),-9.996203118,-9.638421132,-8.245762857,-11.10180779,-14.29639462,-13.84410573,-18.20473735,-10.83182102,-10.12897627,-9.798895341,-14.01509192,-13.71627826,-12.93244798,-12.67211717,-12.40857126,-10.65060762,-10.85231581,-9.662217436,-13.67795742,-14.71046484,-15.22559067,-16.95154327,-18.93880014,-16.53925115,-13.70467476
hsa-miR-147(1),-14.39240976,-16.89770512,-29.89735285,-14.68364106,-15.63878682,-16.67003775,-13.16011872,-13.33463343,-29.89735285,-13.90255748,-13.14897653,-14.00556915,-14.16868828,-16.99422418,-12.55320434,-13.65172588,-14.75365078,-13.38159143,-11.642947,-11.64344075,-11.71837684,-12.87853328,-13.44775279,-11.66366765,-10.8265951
hsa-miR-126(1),-7.227137272,-6.104126718,-7.87000971,-6.274317231,-7.203059163,-6.407532939,-7.149884696,-6.661896306,-5.289773129,-6.255229418,-6.031489347,-6.338910069,-7.353876577,-7.33583229,-6.679697725,-7.560344883,-8.507167625,-7.494322881,-7.676319244,-7.184129977,-9.175954059,-7.549200144,-10.45373342,-9.466414422,-10.54969689
hsa-miR-1185-5p(2),-13.83986874,-12.25837965,-12.95588107,-15.24226941,-15.31098216,-16.15546458,-19.93156857,-29.89735285,-14.44936564,-13.11321647,-16.56699614,-29.89735285,-15.97737226,-16.99422418,-15.23112885,-13.83986874,-12.03143839,-14.96809445,-16.77776323,-29.89735285,-18.03239294,-17.68668151,-29.89735285,-18.99799593,-17.87498504
hsa-miR-379(1),-11.84746177,-9.839084932,-10.89842918,-12.58179639,-11.90563727,-15.48531234,-17.57542476,-10.74935798,-9.422209216,-9.171313519,-13.44775279,-13.00583019,-11.78701739,-12.60172739,-11.93070096,-10.38100069,-8.747193423,-11.15864372,-13.91364666,-13.58107132,-15.05382432,-16.4590808,-20.52448779,-16.67455795,-13.85903397
hsa-miR-451(1),-8.737057314,-8.685647512,-8.232731531,-7.516197292,-7.186184158,-3.894644993,-8.176350487,-12.11193232,-12.32751949,-8.239604389,-11.75402445,-8.489249133,-13.45259676,-9.844296686,-7.157928834,-8.539340781,-13.05243872,-8.258638991,-13.04629927,-10.41010357,-11.59317981,-13.73976907,-15.03432814,-14.39551567,-15.03432814
hsa-miR-181a(2),-8.970598647,-8.282849235,-10.32652433,-8.62585563,-8.164747342,-6.100478696,-10.44156611,-9.275427983,-8.677059558,-8.739085874,-9.506344272,-8.587034636,-9.376930797,-8.186688913,-9.029639749,-9.060231591,-11.19097151,-7.857473613,-8.473022513,-9.898805118,-11.64578723,-8.819806259,-11.04541475,-11.1750456,-11.06512727
hsa-miR-361(1),-9.830338724,-8.981229202,-8.253361506,-8.458418395,-9.82917026,-9.207752358,-8.448023323,-9.06130327,-9.561292019,-10.31674464,-10.08885053,-10.81819624,-9.195483795,-10.82411869,-10.51504335,-9.803775389,-8.836289578,-10.83671497,-12.00803309,-10.47587558,-11.26609763,-10.69060794,-11.38564266,-11.25030556,-11.0823793
hsa-miR-10a(1),-9.741757598,-8.473137347,-10.81224093,-8.803402141,-9.079344173,-9.35439469,-10.27769526,-10.45985272,-9.616208393,-9.134725884,-8.908495534,-9.106970945,-12.06995432,-9.672115992,-8.17782616,-9.818391613,-10.34810402,-12.15864042,-8.573536113,-7.366222015,-10.05700058,-7.060370033,-7.490482754,-7.850331815,-9.812580791
hsa-miR-708(1),-13.00578272,-13.53925115,-15.57401656,-12.23620106,-13.75564483,-12.0527758,-9.529756805,-11.21884555,-12.50337592,-11.31674464,-10.73547058,-12.42085978,-14.27621674,-13.29349473,-11.75663789,-15.7221152,-14.37697972,-11.57368232,-9.675568692,-14.72993471,-15.87845723,-12.54056563,-17.71744376,-15.24226941,-14.65358382
hsa-miR-96(1),-10.40060828,-10.82977932,-11.33529307,-11.18587072,-10.4124867,-9.490253169,-9.539822326,-29.89735285,-10.76640781,-9.141969719,-7.70398361,-11.24501202,-10.15666458,-10.61900322,-9.489043847,-9.731908492,-10.2732821,-9.047134725,-9.333979668,-13.96347782,-12.39363579,-12.48465897,-11.34280147,-10.88960284,-10.94783673
hsa-let-7d(1),-8.143817795,-7.950499753,-6.332084904,-7.492026461,-8.339634417,-7.938787041,-8.068749918,-8.790001028,-8.396940315,-8.911989655,-8.213121316,-8.765298136,-7.629332925,-8.700571852,-8.521037188,-9.448984444,-8.949947063,-8.284759682,-9.069269843,-9.695225442,-9.771518168,-9.001227436,-8.689311441,-9.010214066,-10.34700625
hsa-miR-136-3p(1),-13.4590808,-11.18332875,-12.34707201,-14.38931052,-12.96521886,-18.54200176,-17.66553168,-11.01239238,-11.21386473,-8.926509701,-13.34660607,-13.36780029,-12.76738569,-11.16115244,-12.45756254,-11.1999746,-9.389296975,-11.57368232,-13.49860916,-12.90435921,-15.37085361,-16.68820414,-29.89735285,-16.18740747,-15.65358382
hsa-miR-409-3p(1),-9.241044966,-8.947637975,-8.350771094,-11.22769267,-12.81670185,-12.50754509,-16.56699614,-11.11192912,-9.480183314,-10.67463812,-12.39978165,-13.71627826,-10.65491605,-14.40800661,-11.4316908,-11.26611895,-8.317037693,-11.15864372,-12.58546266,-14.00319825,-14.09614973,-16.4590808,-16.52557621,-16.82723191,-12.85967722
hsa-miR-140(1),-10.00634647,-8.663603879,-9.596570207,-7.966426788,-9.528086734,-7.977625334,-8.884606935,-8.526966622,-7.614403869,-9.768681321,-9.426971017,-7.988397377,-8.575964198,-9.627721623,-8.144198143,-8.994574417,-9.702852073,-9.145819419,-9.891975017,-9.440885131,-10.58765669,-10.7988555,-10.5308428,-9.595407941,-10.2164165
hsa-miR-1224-5p(1),-10.66230628,-13.2577719,-12.83486396,-11.91598626,-15.83564415,-10.55216421,-12.03754511,-10.11192912,-12.64355152,-12.23185732,-12.36371134,-12.85382353,-11.84756279,-15.40800661,-11.80612927,-11.20167936,-11.12078488,-11.26555766,-13.04629927,-11.27147282,-9.854370976,-12.84629264,-9.994789312,-10.10731624,-8.811232182
hsa-miR-193a-5p(1),-12.11374069,-13.26264105,-12.62675639,-11.92283743,-11.95081205,-10.27316783,-14.97737226,-11.45985272,-13.25826656,-12.00358325,-11.18313753,-12.42085978,-13.39240976,-11.56777985,-12.94061371,-13.61506075,-16.01509192,-12.64406857,-12.56309703,-14.92257979,-14.25068165,-14.07110231,-17.71744376,-15.24226941,-12.38277748
hsa-miR-376c(1),-11.41881626,-9.139555946,-10.44491855,-12.07232577,-11.12540887,-15.22007366,-14.94515763,-9.831821015,-9.41905623,-8.968820744,-11.49801234,-12.59078379,-10.32816291,-10.88551958,-10.77672262,-8.961271387,-7.841866185,-9.371001674,-13.30659039,-12.008675,-15.12937535,-13.16891413,-20.52448779,-14.88717445,-14.7066022
hsa-miR-22(1),-5.658635218,-5.624424837,-9.061062824,-6.641845897,-6.176299676,-5.712334164,-7.087350846,-5.025982672,-5.964500947,-6.126320558,-5.585690657,-6.056808387,-5.644527199,-6.441374649,-6.860731488,-5.177529255,-6.713116884,-5.324849623,-5.703679138,-7.397329165,-7.197529018,-6.470833811,-8.936012681,-8.171464497,-6.15438313
hsa-miR-215(1),-16.83059092,-17.12009754,-15.47213695,-14.42694818,-13.66853416,-17.42821983,-12.83752256,-13.92034131,-12.90070283,-14.77776323,-13.62414004,-12.00582426,-14.16868828,-13.82513649,-13.61325173,-14.47541953,-13.13029349,-14.38005255,-9.972593982,-9.875646283,-12.06978065,-13.27707574,-13.65544416,-12.96339716,-12.23317643
hsa-miR-345(1),-11.57835998,-11.43674098,-10.97402827,-10.77910118,-13.06104356,-11.54839135,-11.15578712,-12.11193232,-13.30366995,-10.91819564,-11.64178481,-13.08828816,-11.82709561,-13.9937534,-13.25840792,-12.30950943,-12.54871978,-11.71807061,-9.810674953,-12.69747925,-13.43651304,-12.56935295,-14.20364811,-13.87845723,-13.20220614
hsa-miR-335-5p(1),-11.15452043,-8.809392846,-7.446105514,-8.393908981,-8.704545949,-10.02761745,-8.678752963,-11.01239238,-11.49007679,-10.96882002,-10.48245708,-11.31776806,-11.72891577,-10.76522469,-10.13610518,-10.19827525,-11.4894503,-9.836714967,-14.12679219,-11.94954472,-11.80546298,-11.12027737,-13.65544416,-13.8377549,-11.31238668
hsa-miR-130a(1),-12.23043541,-9.227910656,-9.481768897,-10.03903031,-9.244427376,-11.25768712,-10.94433867,-11.91928484,-11.51679456,-11.11321008,-12.61186033,-10.28093144,-11.88937843,-10.6994235,-11.7111322,-11.60146736,-13.4590808,-11.57368232,-12.91303454,-11.63418912,-13.52048134,-11.48498562,-17.52557621,-14.78589111,-13.51709473
